origin_mid_x,origin_mid_y,origin_frame_num,destination_mid_x,destination_mid_y,destination_frame_num,fps,speed
1362.012354,573.826824,3,1778.571034,1002.932958,72,14.93302108,52.95
935.2127439,685.0395602,3,1213.473935,1057.960476,57,14.93302108,52.64
1012.728846,382.1636755,3,1821.021335,1030.744949,143,14.93302108,45.22
1037.139321,980.0268887,3,1076.041454,1068.287944,20,14.93302108,34.66
762.1040771,505.2044943,3,1076.190789,1060.510104,156,14.93302108,25.47
687.669303,430.4271508,3,1160.355931,1075.380582,120,14.93302108,41.75
586.1976388,362.6643514,3,606.8652111,372.5903772,11,14.93302108,17.51
344.2925399,326.1991246,4,1206.496712,1050.380679,254,14.93302108,27.51
345.8550628,326.5,5,1280.682526,572.6511779,266,14.93302108,22.63
604.8727233,378.1733529,10,1071.688816,1028.791348,151,14.93302108,34.69
473.8372802,343.3000588,14,682.9579321,310.8837792,264,14.93302108,5.17
497.5442938,350.7408048,137,688.9337645,311.0314786,266,14.93302108,9.26
279.4061744,348.2631586,146,440.2989391,299.8884057,261,14.93302108,8.92
300.9260728,326.6352649,171,452.3311617,299.6284499,266,14.93302108,9.89
194.4834727,281.1193638,193,194.6976345,281.102293,241,14.93302108,0.03
487.8716587,344.5938256,196,519.7344588,332.9657581,225,14.93302108,7.15
524.2959521,328.2204446,229,576.8989124,311.2209813,266,14.93302108,9.13
